,company_id,share_outstanding_q1_2022,share_outstanding_q2_2022,share_outstanding_q3_2022,share_outstanding_q4_2022,share_outstanding_q1_2023,share_outstanding_q2_2023,share_outstanding_q3_2023,eps_q1_2022,eps_q2_2022,eps_q3_2022,eps_q4_2022,eps_q1_2023,eps_q2_2023,eps_q3_2023,pe_ratio_q1_2022,pe_ratio_q2_2022,pe_ratio_q3_2022,pe_ratio_q4_2022,pe_ratio_q1_2023,pe_ratio_q2_2023,pe_ratio_q3_2023,price_to_sales_q1_2022,price_to_sales_q2_2022,price_to_sales_q3_2022,price_to_sales_q4_2022,price_to_sales_q1_2023,price_to_sales_q2_2023,price_to_sales_q3_2023,ebitda_q1_2022,ebitda_q2_2022,ebitda_q3_2022,ebitda_q4_2022,ebitda_q1_2023,ebitda_q2_2023,ebitda_q3_2023,return_on_assets_q1_2022,return_on_assets_q2_2022,return_on_assets_q3_2022,return_on_assets_q4_2022,return_on_assets_q1_2023,return_on_assets_q2_2023,return_on_assets_q3_2023,return_on_equity_q1_2022,return_on_equity_q2_2022,return_on_equity_q3_2022,return_on_equity_q4_2022,return_on_equity_q1_2023,return_on_equity_q2_2023,return_on_equity_q3_2023,return_on_capital_employed_q1_2022,return_on_capital_employed_q2_2022,return_on_capital_employed_q3_2022,return_on_capital_employed_q4_2022,return_on_capital_employed_q1_2023,return_on_capital_employed_q2_2023,return_on_capital_employed_q3_2023,interest_coverage_q1_2022,interest_coverage_q2_2022,interest_coverage_q3_2022,interest_coverage_q4_2022,interest_coverage_q1_2023,interest_coverage_q2_2023,interest_coverage_q3_2023,cluster
10,PTBA,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,11520000000.0,197.51,336.9,333.72,222.75,100.94,139.98,87.12,16.66,11.34,12.5,16.57,39.53,19.15,32.14,4.62,4.31,3.8,3.67,4.62,3.47,3.63,3215160000000.0,4696230000000.0,5279070000000.0,3496950000000.0,1728730000000.0,2056840000000.0,2027930000000.0,0.0584,0.1081,0.0933,0.0566,0.0250999999999999,0.0348,0.0279,0.0865,0.1729,0.1472,0.0894,0.0395,0.0882,0.0521999999999999,0.0960999999999999,0.1475,0.1649,0.0931,0.0375,0.0558,0.0506,116.81,110.92,105.95,33.97,28.71,26.03,22.55,3
11,KLBF,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,46880000000.0,17.81,17.11,18.1,19.13,18.26,14.36,11.43,90.4,97.02,101.1,109.25,115.01,142.76,153.54,10.76,11.34,11.74,12.64,12.51,13.15,11.14,1220310000000.0,1150260000000.0,1245500000000.0,1329850000000.0,1329710000000.0,1068670000000.0,833100000000.0,0.0311,0.0317,0.0324,0.0329,0.0302999999999999,0.0246,0.0197,0.0412,0.0421,0.0436,0.044,0.0404,0.0335,0.0259,0.0468,0.0438999999999999,0.0491,0.051,0.0495,0.0381,0.0302,89.07,81.91,93.39,57.13,51.03,31.89,25.92,0
12,BBNI,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,18650000000.0,212.47,259.59,262.16,247.73,279.94,272.47,292.33,38.83,30.24,34.23,37.24,33.4,33.58,35.32,11.13,9.95,10.87,10.15,10.55,10.08,10.78,5467840000000.0,7071960000000.0,6659250000000.0,6562940000000.0,7105880000000.0,6829900000000.0,7366010000000.0,0.0043,0.0051,0.0052,0.0045,0.0052,0.005,0.0054,0.0315,0.0383,0.0377,0.034,0.0371,0.0366,0.0382,0.0052,0.0063,0.0064,0.0061,0.0064,0.0062,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,ITMG,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,2709.84,3359.59,5979.67,4510.86,2421.88,1652.93,1487.59,10.54,9.13,6.93,8.65,16.27,14.6,19.48,3.51,2.9,2.5,2.62,4.34,2.96,3.72,4800090000000.0,6090330000000.0,10157280000000.0,7675040000000.0,3694780000000.0,2532390000000.0,2299860000000.0,0.1079,0.1292,0.1778,0.1238,0.0658,0.0559,0.0504999999999999,0.1727,0.1714,0.2277,0.1672,0.1093,0.0694,0.0643,0.228,0.265,0.3456,0.2169,0.1129,0.0836,0.0697,0.0,420.4,665.99,0.0,0.0,160.56,286.39,3
14,UNTR,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,1158.35,1618.12,1477.15,1377.57,1427.11,1579.82,1107.86,22.06,17.55,22.22,18.93,20.39,14.73,25.5,3.41,3.26,3.94,3.03,3.11,2.57,3.64,8069700000000.0,10424960000000.0,9030090000000.0,10003000000000.0,9345820000000.0,10690080000000.0,7784180000000.0,0.036,0.0467,0.0393,0.0366,0.0353,0.0438,0.027,0.0588,0.0776,0.0695,0.0607,0.0603,0.0819999999999999,0.0553,0.0694,0.0933,0.0789,0.0794,0.0725,0.0915,0.0641,36.26,54.87,38.95,29.48,31.99,25.3,9.49,1
15,SMGR,5930000000.0,5930000000.0,5930000000.0,6750000000.0,6750000000.0,6750000000.0,6750000000.0,85.26,56.38,142.08,101.01,83.18,45.12,125.56,78.0,126.37,52.61,65.09,75.74,134.64,51.17,4.61,5.19,4.48,4.54,4.76,5.07,4.08,1866460000000.0,1762480000000.0,2264340000000.0,2053410000000.0,1883670000000.0,1617360000000.0,2424030000000.0,0.0066,0.0046,0.0113999999999999,0.0081999999999999,0.0069,0.0038,0.0104,0.0141999999999999,0.0092,0.0227,0.016,0.013,0.0073,0.0199,0.0168,0.0155,0.0245,0.0162,0.0156,0.0118,0.0237,2.93,2.55,4.53,3.07,3.22,2.32,4.46,0
16,GOTO,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,-5.46,-6.06,-5.63,-16.25,-3.26,-2.79,-2.02,-0.0,-64.03,-43.69,-5.6,-33.44,-39.43,-42.08,0.0,241.53,63.77,31.88,38.74,36.69,27.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0428,-0.0452,-0.0431,-0.1383,-0.0283999999999999,-0.0248,-0.0181,-0.0475999999999999,-0.0495,-0.0474,-0.1541,-0.0315,-0.0276,-0.0202,-0.0555,-0.0559999999999999,-0.0482,-0.0562,-0.0322,-0.0168,-0.0223,-142.42,-123.72,-115.65,-142.17,-53.23,-22.98,-34.76,2
17,CPIN,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,72.65,74.75,46.88,-15.7,14.7,69.39,79.08,77.77,80.27,120.52,-359.87,339.46,76.02,68.6,6.48,6.86,6.26,6.9,5.62,5.3,5.48,1841520000000.0,1927930000000.0,1327670000000.0,282600000000.0,759350000000.0,2028010000000.0,2139480000000.0,0.0327,0.0314,0.0194,-0.0065,0.0058,0.0265,0.0309,0.0452,0.0475999999999999,0.0289999999999999,-0.0098,0.0091,0.0411,0.0447,0.0547,0.0565,0.0339,-0.0064,0.0141999999999999,0.0545,0.0565,20.2,21.32,8.27,-1.32,2.46,8.91,9.97,0
18,HRUM,2700000000.0,13520000000.0,13520000000.0,13520000000.0,13520000000.0,13520000000.0,13520000000.0,333.4,94.04,106.83,80.51,114.14,52.98,-44.22,32.09,16.43,16.66,20.12,12.79,26.8,-42.63,13.24,6.08,4.73,6.45,4.47,6.46,9.93,1285050000000.0,1879400000000.0,2450020000000.0,1729660000000.0,2386830000000.0,1245110000000.0,0.0,0.0634,0.0792,0.0785,0.0546,0.0747,0.0349,-0.0262,0.0843,0.0991,0.0969999999999999,0.0703,0.0917,0.0404,-0.0342,0.1026,0.1369999999999999,0.1594,0.0948,0.1264,0.0549,0.0239,97.3,119.27,268.38,109.11,121.66,58.57,24.4,3
19,INCO,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,97.74,127.6,32.79,56.34,147.95,106.45,90.2,68.55,44.28,195.18,126.02,44.95,59.18,62.64,19.72,11.17,12.96,13.89,12.15,14.08,12.1,1818120000000.0,2239510000000.0,1295380000000.0,1329670000000.0,2429630000000.0,1816840000000.0,1695930000000.0,0.0266,0.0326,0.0081,0.0135,0.0351,0.0250999999999999,0.0202,0.0304,0.037,0.0092,0.0152,0.04,0.0286,0.023,0.0373,0.0471,0.0189,0.0166,0.0463,0.0305,0.0254,78.9,98.57,25.71,13.27,95.43,57.2,46.61,0
